                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0929,                 8.4839,                 1.5116,                 0.6831,                0.02083,                0.01423,                 0.0113,                0.70604,                 18.706,                 1.2691,                  5e-05,                  5e-05,                  5e-05
                      2,                0.95248,                 3.6208,                 1.3833,                0.58101,                0.29398,                0.29061,                0.25078,                0.69912,                 48.979,                 1.2043,             0.00010891,             0.00010891,             0.00010891
                      3,                0.96836,                 2.6643,                 1.3662,                0.43583,                0.34306,                0.36746,                0.30662,                 0.6982,                 8.6273,                 1.2189,             0.00016663,             0.00016663,             0.00016663
                      4,                0.83538,                 2.0274,                 1.2627,                0.48998,                0.66692,                0.62587,                0.49921,                 0.7697,                 5.1733,                 1.3196,             0.00022317,             0.00022317,             0.00022317
                      5,                 0.7784,                 1.5767,                 1.2189,                0.66604,                0.80953,                0.85806,                 0.6758,                 0.6917,                 3.9927,                 1.2625,             0.00027852,             0.00027852,             0.00027852
                      6,                0.81348,                 1.4471,                 1.1962,                0.68618,                0.83265,                 0.8273,                0.59947,                0.90255,                 3.3956,                 1.4826,             0.00033268,             0.00033268,             0.00033268
                      7,                 0.8238,                 1.3785,                 1.2266,                0.86188,                0.82289,                 0.9373,                  0.634,                 1.0378,                   2.21,                  1.852,             0.00038565,             0.00038565,             0.00038565
                      8,                0.83406,                 1.2592,                 1.2545,                0.54644,                 0.7422,                0.77958,                0.58031,                0.91682,                 2.8277,                 1.5636,             0.00043743,             0.00043743,             0.00043743
                      9,                0.87242,                 1.2565,                 1.2701,                0.60346,                  0.737,                 0.6933,                0.52438,                 1.0192,                 3.0587,                 1.6501,             0.00048802,             0.00048802,             0.00048802
                     10,                0.80923,                 1.1152,                 1.2092,                0.54258,                0.67712,                 0.6653,                0.47328,                 1.0509,                 2.1161,                 1.7582,             0.00053743,             0.00053743,             0.00053743
                     11,                0.80138,                 1.0276,                 1.1865,                0.63878,                0.79844,                0.80617,                0.54376,                 1.0424,                 1.8512,                 1.6897,             0.00058565,             0.00058565,             0.00058565
                     12,                0.82662,                  1.043,                 1.2206,                0.74912,                0.50167,                0.65515,                0.39883,                 1.3182,                 2.0726,                  1.923,             0.00063268,             0.00063268,             0.00063268
                     13,                0.83971,                 1.0508,                 1.2366,                0.68771,                0.79029,                0.76294,                0.53231,                 1.0571,                 1.7213,                 1.7295,             0.00067852,             0.00067852,             0.00067852
                     14,                0.86066,                 1.0711,                 1.2521,                0.31445,                0.58426,                 0.4663,                0.26682,                 1.1932,                 5.5449,                    1.8,             0.00072318,             0.00072318,             0.00072318
                     15,                0.76596,                0.96876,                 1.1957,                0.62311,                0.63378,                0.63914,                0.38607,                 1.0521,                 2.2729,                 1.6771,             0.00076665,             0.00076665,             0.00076665
                     16,                0.87255,                  1.211,                 1.2846,                0.67559,                0.48889,                0.52971,                0.37592,                 1.1217,                 3.1511,                 1.7399,             0.00080893,             0.00080893,             0.00080893
                     17,                0.86068,                 1.1068,                 1.2422,                0.48428,                 0.5049,                0.55519,                0.40697,                 1.0722,                 4.0229,                 1.7617,              0.0008416,              0.0008416,              0.0008416
                     18,                0.88397,                 1.0918,                 1.2539,                 0.3864,                0.56233,                0.55051,                0.32038,                 1.2998,                 4.8676,                 2.2939,              0.0008317,              0.0008317,              0.0008317
                     19,                0.84903,                 1.0797,                  1.257,                  0.761,                0.50421,                 0.6449,                0.42149,                 1.2138,                 2.4682,                 1.9124,              0.0008218,              0.0008218,              0.0008218
                     20,                0.82478,                0.97326,                 1.2195,                0.38469,                0.53783,                0.46996,                0.27919,                 1.5185,                 3.3022,                   2.12,              0.0008119,              0.0008119,              0.0008119
