                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0516,                 6.6509,                 1.4163,                0.23472,                0.18869,                0.15388,                0.13461,                0.69379,                 46.501,                 1.1217,                0.00011,                0.00011,                0.00011
                      2,                0.90175,                 2.5726,                 1.2968,                0.44227,                0.33742,                0.32077,                0.26461,                0.76667,                 7.8103,                 1.2055,             0.00022772,             0.00022772,             0.00022772
                      3,                 0.8894,                 1.9266,                 1.2696,                0.58774,                0.67907,                0.67488,                0.48541,                0.96415,                 3.5385,                 1.3683,             0.00034307,             0.00034307,             0.00034307
                      4,                0.93585,                 1.5315,                 1.2626,                0.53898,                0.61304,                0.62931,                0.42693,                 1.1021,                 2.9686,                 1.7518,             0.00045604,             0.00045604,             0.00045604
                      5,                0.93748,                 1.3395,                 1.2728,                0.69856,                0.37469,                0.47268,                0.27654,                 1.3688,                 3.0233,                 1.9568,             0.00056664,             0.00056664,             0.00056664
                      6,                0.93931,                  1.279,                 1.2587,                0.59817,                0.49252,                0.49119,                0.27983,                   1.37,                 2.5598,                 1.8396,             0.00067486,             0.00067486,             0.00067486
                      7,                0.91633,                 1.2787,                 1.2578,                0.32887,                0.43999,                0.32678,                0.17944,                 1.5397,                 3.4686,                 2.0098,              0.0007807,              0.0007807,              0.0007807
                      8,                   0.92,                 1.2438,                 1.2235,                0.39918,                0.28638,                0.26881,                0.14166,                 1.7783,                 3.2497,                 2.1549,             0.00088417,             0.00088417,             0.00088417
                      9,                 1.0027,                 1.3449,                 1.3059,                0.56046,                0.26467,                0.23908,                0.13906,                 2.0425,                 3.0577,                 2.2983,              0.0009208,              0.0009208,              0.0009208
                     10,                0.99341,                 1.3201,                 1.3025,                0.48211,                0.26138,                0.23586,                0.11906,                  2.097,                  3.337,                 2.3958,              0.0009109,              0.0009109,              0.0009109
                     11,                0.97688,                 1.2188,                 1.2781,                0.49467,                0.50531,                0.48783,                0.29129,                 1.6198,                 2.2556,                 1.9798,               0.000901,               0.000901,               0.000901
                     12,                0.95802,                 1.2121,                 1.2564,                0.47535,                 0.5664,                0.51928,                0.31754,                 1.3404,                  4.006,                 1.7931,              0.0008911,              0.0008911,              0.0008911
                     13,                0.94536,                 1.1792,                 1.2675,                0.61008,                0.56745,                0.58221,                 0.3548,                 1.2957,                 2.2666,                 1.6498,              0.0008812,              0.0008812,              0.0008812
                     14,                0.92649,                 1.1642,                 1.2433,                0.66894,                0.48139,                0.54127,                0.32219,                 1.5366,                 2.8834,                 1.9617,              0.0008713,              0.0008713,              0.0008713
                     15,                 0.8955,                 1.0759,                 1.2294,                0.44902,                0.58006,                0.49782,                0.33652,                 1.3748,                 2.7511,                 1.7859,              0.0008614,              0.0008614,              0.0008614
                     16,                 0.9405,                 1.0568,                 1.2615,                0.45973,                0.47369,                0.43316,                0.29471,                  1.206,                 3.0511,                 1.6701,              0.0008515,              0.0008515,              0.0008515
                     17,                0.92585,                 1.0631,                 1.2544,                 0.7375,                0.66153,                0.77603,                0.49006,                 1.2875,                 1.8572,                 1.7683,              0.0008416,              0.0008416,              0.0008416
