                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9335,                 3.5326,                 1.3021,                0.00498,                0.99074,                0.18488,                0.14793,                0.60963,                 4.0064,                  1.076,                0.00023,                0.00023,                0.00023
                      2,                0.91246,                 2.8738,                 1.2971,                0.39571,                0.11683,                0.24545,                 0.1752,                0.83341,                 3.6208,                 1.2651,             0.00046069,             0.00046069,             0.00046069
                      3,                0.95717,                 2.5809,                 1.3096,                0.35954,                0.45453,                 0.4442,                0.31669,                0.95266,                 3.1439,                 1.3698,             0.00068188,             0.00068188,             0.00068188
                      4,                0.94336,                 2.2416,                 1.2796,                0.46132,                0.29003,                0.38154,                0.25295,                 1.0339,                 3.6824,                 1.4373,             0.00089357,             0.00089357,             0.00089357
                      5,                0.99221,                 2.1756,                 1.2629,                0.46409,                0.50506,                0.51542,                0.34976,                0.91591,                 3.0865,                 1.3429,              0.0009208,              0.0009208,              0.0009208
                      6,                  1.016,                  2.124,                  1.319,                0.54009,                0.43913,                0.53203,                0.34172,                 1.1167,                 2.8913,                 1.4936,               0.000901,               0.000901,               0.000901
                      7,                0.98724,                 1.9944,                 1.2992,                0.66687,                0.56014,                0.62255,                0.44228,                 1.0424,                 2.6578,                 1.4389,              0.0008812,              0.0008812,              0.0008812
                      8,                 1.0089,                  1.903,                 1.2806,                0.58892,                0.68346,                 0.6974,                0.47935,                 1.1322,                 2.6374,                 1.5026,              0.0008614,              0.0008614,              0.0008614
                      9,                0.96567,                 1.7538,                 1.2587,                0.71873,                0.70997,                0.76245,                0.54336,                0.97523,                 2.4651,                 1.3821,              0.0008416,              0.0008416,              0.0008416
                     10,                0.95467,                  1.668,                 1.2574,                0.69182,                0.69478,                 0.7357,                0.53711,                0.89597,                 2.3911,                 1.2963,              0.0008218,              0.0008218,              0.0008218
                     11,                  0.978,                 1.6467,                 1.2871,                0.74288,                0.67448,                 0.8113,                0.59362,                0.90074,                  2.025,                 1.3375,               0.000802,               0.000802,               0.000802
                     12,                0.93409,                 1.5244,                 1.2224,                0.72248,                0.70267,                0.78293,                0.57888,                 0.8416,                 1.9627,                 1.2179,              0.0007822,              0.0007822,              0.0007822
                     13,                0.90621,                 1.4049,                 1.2052,                0.80281,                  0.736,                0.80258,                0.55869,                0.88182,                 1.8853,                 1.2842,              0.0007624,              0.0007624,              0.0007624
                     14,                0.96829,                 1.5068,                 1.2581,                0.83275,                 0.8362,                0.87361,                0.64024,                0.88905,                 1.7055,                 1.3337,              0.0007426,              0.0007426,              0.0007426
                     15,                 0.8971,                 1.4332,                 1.2141,                0.87948,                0.84783,                0.89712,                0.67091,                0.85377,                 1.4988,                 1.2717,              0.0007228,              0.0007228,              0.0007228
                     16,                0.90222,                 1.3688,                 1.2316,                0.77198,                0.82515,                0.86486,                0.68263,                0.72906,                 1.4221,                  1.163,               0.000703,               0.000703,               0.000703
                     17,                0.84364,                 1.2501,                 1.1752,                0.76867,                0.72993,                0.82819,                0.62682,                0.83319,                 1.5158,                 1.2644,              0.0006832,              0.0006832,              0.0006832
                     18,                0.82167,                 1.2162,                 1.1809,                0.79414,                0.79868,                0.87464,                0.65425,                 0.8671,                 1.4218,                 1.3069,              0.0006634,              0.0006634,              0.0006634
                     19,                0.86816,                 1.2011,                 1.1949,                0.83857,                0.89305,                0.92517,                0.72065,                0.76043,                 1.2558,                 1.1829,              0.0006436,              0.0006436,              0.0006436
                     20,                0.79879,                  1.132,                 1.1621,                0.81652,                0.83266,                0.89738,                 0.6907,                0.77525,                 1.2778,                 1.1957,              0.0006238,              0.0006238,              0.0006238
                     21,                0.86647,                 1.1938,                 1.1978,                 0.9315,                0.82484,                0.93253,                0.72565,                0.85691,                  1.231,                 1.2234,               0.000604,               0.000604,               0.000604
                     22,                0.83756,                 1.1246,                 1.1839,                0.86941,                0.85852,                0.93092,                0.73976,                 0.7472,                 1.0874,                 1.1569,              0.0005842,              0.0005842,              0.0005842
                     23,                0.76327,                 1.0732,                  1.146,                0.90746,                0.86003,                0.92615,                0.74312,                0.74454,                 1.0777,                 1.1332,              0.0005644,              0.0005644,              0.0005644
                     24,                0.78044,                 1.0307,                  1.134,                0.91088,                0.85582,                 0.9241,                0.74998,                0.71483,                 1.0089,                 1.0994,              0.0005446,              0.0005446,              0.0005446
                     25,                0.76363,                0.96759,                 1.1252,                 0.9145,                0.89619,                0.93847,                0.75971,                0.70601,                 1.0315,                 1.1083,              0.0005248,              0.0005248,              0.0005248
                     26,                 0.7873,                 1.0052,                 1.1448,                0.90599,                0.82341,                 0.9277,                0.74785,                0.68912,                 1.0436,                 1.0868,               0.000505,               0.000505,               0.000505
                     27,                0.76602,                0.96395,                  1.133,                0.91274,                0.92173,                0.95371,                0.77594,                0.68852,                 0.9401,                 1.1219,              0.0004852,              0.0004852,              0.0004852
                     28,                 0.7485,                0.93151,                 1.1174,                0.88314,                0.87905,                0.92365,                0.74429,                0.69342,                0.95996,                 1.1329,              0.0004654,              0.0004654,              0.0004654
                     29,                0.72646,                0.95976,                 1.1201,                0.86956,                0.89684,                0.93931,                 0.7565,                0.67787,                0.94401,                 1.0886,              0.0004456,              0.0004456,              0.0004456
                     30,                0.76008,                0.94561,                 1.1301,                0.90661,                0.93133,                0.94771,                0.77787,                0.68716,                0.90965,                 1.1099,              0.0004258,              0.0004258,              0.0004258
                     31,                0.72922,                0.88583,                 1.1075,                0.88652,                0.90351,                0.95176,                0.77385,                0.67085,                0.87498,                 1.0825,               0.000406,               0.000406,               0.000406
